"Key","Context","EN"
"SimulationSettings.ShowStellarProminences","","Stellar Prominences"
"SimulationSettings.ShowStellarProminences_TOOLTIP","","Enables prominence effects on star surfaces"
"SimulationSettings.ShowDarkMatter","","Dark Matter"
"SimulationSettings.ShowDarkMatter_TOOLTIP","","If enabled, an indication of dark matter will be visible in some galaxies"
"SimulationSettings.ShowSupernovae","","Supernovae"
"SimulationSettings.ShowSupernovae_TOOLTIP","","If enabled, draws particles when a supernova occurs"
"SimulationSettings.SPHDisplayProperty","","SPH Display Mode"
"SimulationSettings.SPHRenderMode","","SPH Render Mode"
"SimulationSettings.SPHSampleMode","","SPH Sample Mode"
"SimulationSettings.StartingTolerance","","Starting Tolerance Override"
"SimulationSettings.TextBillboards","","3D Labels"
"SimulationSettings.TextBillboards_TOOLTIP","","Shows 3D name labels for objects"
"SimulationSettings.TidalEvolution","","Tidal Evolution"
"SimulationSettings.TidalEvolution_TOOLTIP","","The orbit and rotation of a body is affected by tidal forces"
"SimulationSettings.TidalEvolutionMultiplier","","Tidal Evolution Multiplier"
"SimulationSettings.TidalEvolutionMultiplier_TOOLTIP","","Multiplies the effect of tidal evolution"
"SimulationSettings.TidalHeating","","Tidal Heating"
"SimulationSettings.TidalHeating_TOOLTIP","","Objects heat through friction when they are deformed by tidal forces"
"SimulationSettings.TidalHeatingMultiplier","","Tidal Heating Multiplier"
"SimulationSettings.TidalHeatingMultiplier_TOOLTIP","","Multiplies the effect of tidal heating"
"SimulationSettings.TrailContext","","Context"
"SimulationSettings.TrailContext_TOOLTIP","","Draw trails for all objects or only selected object"
"SimulationSettings.TrailIntensity","","Intensity"
"SimulationSettings.TrailIntensity_TOOLTIP","","Brightness of trail lines"
"SimulationSettings.TrailLength","","Length"
"SimulationSettings.TrailLength_TOOLTIP","","How much of the trail is drawn before fading"
"SimulationSettings.TrailWidth","","Width"
"SimulationSettings.TrailWidth_TOOLTIP","","Width of trail lines"
"SimulationSettings.VolatilityMassMultiplier","","Mass Loss Multiplier"
"SimulationSettings.VolatilityMassMultiplier_TOOLTIP","","Multiplies the amount of mass lost to volatility"
"SimulationSettings.CameraFOV","","Field of View"
"SimulationSettings.CameraFOV_TOOLTIP","","The angle of the simulation seen by the camera"
"SimulationSettings.Orbits","","Orbits"
"SimulationSettings.Orbits_TOOLTIP","","Draws an object's orbital path, calculated by its orbital element data"
"SimulationSettings.TrailCenter","","Trail Center"
"SimulationSettings.TrailCenter_TOOLTIP","","The reference frame for which all trails are drawn"
"SimulationSettings.Trails","","Trails"
"SimulationSettings.Trails_TOOLTIP","","Draws a line showing an object's past movement"
"SimulationSettings.BodyScaleStyle","","Object Scales"
"SimulationSettings.BodyScaleStyle_TOOLTIP","","Set to Exaggerated to see objects more easily, or set to Realistic for true-to-scale objects"
"SimulationSettings.BodyScaleMultiplier","","Body Scale Multiplier"
"SimulationSettings.CollisionImportance","","Collision Resolution"
"Preferences.AnalyticsEnabled","","Allow Usage Statistics"
"Preferences.AnalyticsEnabled_TOOLTIP","","Turn on collection of anonymous usage statistics
See our privacy policy for details: universesandbox.com/privacy"
"Preferences.IncludeSimulationOverlays","","Simulation Overlays"
"Preferences.IncludeSimulationOverlays_TOOLTIP","","Toggle visibility of selection circles, height lines and projected path marks"
"Preferences.UseControllerInput","","Use Game Controller"
"Preferences.InvertedScrolling","","Invert Scroll Wheel"
"Preferences.BudgetTargetFPS","","Target FPS"
"Preferences.BudgetTargetFPS_TOOLTIP","","Reduce number of simulated bodies and particles if frames per second (FPS) falls below target"
"Preferences.BudgetEnableReduction","","Dynamic Budget"
"Preferences.BudgetEnableReduction_TOOLTIP","","Automatically adjust number of simulated bodies and particles for best performance and simulation results"
"Preferences.AudioEnabled","","Audio"
"Preferences.AudioEnabled_TOOLTIP","","Turn on all audio"
"Preferences.PlayAudioInBackground","","Play Audio in Background"
"Preferences.PlayAudioInBackground_TOOLTIP","","Play audio when window is not in focus"
"Preferences.MasterVolume","","Master Volume"
"Preferences.MasterVolume_TOOLTIP","","Change the overall audio volume"
"Preferences.MusicVolume","","Music Volume"
"Preferences.MusicVolume_TOOLTIP","","Change the volume of the music"
"Preferences.EffectsVolume","","Simulation Volume"
"Preferences.EffectsVolume_TOOLTIP","","Change the volume of simulation sound effects"
"Preferences.UIVolume","","Interface Volume"
"Preferences.UIVolume_TOOLTIP","","Change the volume of user interface sound effects"
"Preferences.QuicksaveAmount","","Quicksave Amount"
"Preferences.QuicksaveAmount_TOOLTIP","","Number of quicksave backups you want to keep"
"Preferences.DynamicViewport","","Dynamic Viewport"
"Preferences.DynamicViewport_TOOLTIP","","Shift simulation scene to remain visible when panels are opened"
"Preferences.DynamicCamera","","Dynamic Camera"
"Preferences.DynamicCamera_TOOLTIP","","Switch camera focus to nearest object if its target disappears from the simulation"
"Preferences.SelectionBias","","Selection Bias"
"Preferences.SelectionBias_TOOLTIP","","Priority when selecting bodies with cursor"
"Preferences.CameraSmoothingMultiplier","","Camera Smoothing Multiplier"
"Preferences.CameraSmoothingMultiplier_TOOLTIP","","Amount of smoothing to apply to camera motion"
"Preferences.PrimaryColor","","Primary Color"
"Preferences.PrimaryColor_TOOLTIP","","Default color for user interface details"
"Preferences.GIFDesiredFPS","","Frames Per Second"
"Preferences.GIFDesiredFPS_TOOLTIP","","Number of frames in the GIF for every second of real time"
"Preferences.GIFIncludeUI","","User interface"
"Preferences.GIFIncludeUI_TOOLTIP","","Include the user interface in the GIF"
"Preferences.GIFQuality","","Quality"
"Preferences.GIFQuality_TOOLTIP","","Lower quality creates smaller files"
"Preferences.GIFLoop","","Loop"
"Preferences.GIFLoop_TOOLTIP","","Create a looping GIF"
"Preferences.GIFIncludeSimulationOverlays","","Simulation Overlays"
"Preferences.GIFIncludeSimulationOverlays_TOOLTIP","","Toggle visibility of selection circles, height lines and projected path marks"
"Preferences.GIFPaletteFrameSkip","","Color Update Frequency"
"Preferences.GIFPaletteFrameSkip_TOOLTIP","","Calculate a new color palette every N frames. Lower values increase processing time"
"Preferences.GIFTimeLimit","","Duration"
"Preferences.GIFTimeLimit_TOOLTIP","","Automatically stop recording after N seconds"
"Preferences.GIFShowWatermark","","Watermark"
"Preferences.GIFShowWatermark_TOOLTIP","","Add a Universe Sandbox ² watermark to GIF"
"Preferences.GIFMode","","Capture Mode"
"Preferences.GIFMode_TOOLTIP","","GIF Capture Mode (Film, Screen, Custom)"
"Preferences.IncludeUIinScreenshots","","User Interface"
"Preferences.IncludeUIinScreenshots_TOOLTIP","","Show user interface in the standard screenshot"
"Preferences.ScreenshotsIncludeSimulationOverlays","","Simulation Overlays"
"Preferences.ScreenshotsIncludeSimulationOverlays_TOOLTIP","","Toggle visibility of selection circles, height lines and projected path marks"
"Preferences.ScreenshotMode","","Capture Mode"
"Preferences.ScreenshotMode_TOOLTIP","","Screenshot Capture Mode (Photo, Screenshot, Custom)"
"Preferences.LocalizationModeUnlocked","","Unlock Translation Mode"
"Preferences.LocalizationModeUnlocked_TOOLTIP","","Allow translation mode to be enabled"
"Preferences.ShowNEWIcons","","New Icon"
"Preferences.ShowNEWIcons_TOOLTIP","","Show New icon on new simulations"
"Preferences.NEWIconMode","","Show New..."
"Preferences.NEWIconDate","","Date"
"Preferences.NEWIconDate_TOOLTIP","","since a given date"
"Preferences.HideVisited","","Hide New When Opened"
"Preferences.HideVisited_TOOLTIP","","Remove New icon when sim is opened"
"Simulation.SlowestBody","","Slowest body"
"Simulation.SlowestBody_TOOLTIP","","The name of the body which is mostly responsible for the small timesteps."
"Simulation.ErrorPerSecond","","Simulation Error"
"Simulation.ErrorPerSecond_TOOLTIP","","Potentially accumulated position error per unit of simulation time"
"Simulation.ComputationDevice","","Computation Device"
"Simulation.ComputationDevice_TOOLTIP","","NativeCPU is our preferred optimized computational nbody simulation. If you are experiencing issues with nbody simulations, you can try switching to our older system, ManagedCPU."
"Simulation.Accuracy","","Accuracy"
"Simulation.Accuracy_TOOLTIP","","Adjusts Tolerance: lower accuracy means higher possible Time Steps but less stable orbits"
"Simulation.IntegratorId","","Integrator ID"
"Simulation.IntegrationMode","","Integration Mode"
"Simulation.SlidingMotionDampning","","Sliding motion dampening"
"Simulation.SlidingMotionDampning_TOOLTIP","","Resistance against sliding/grinding motion"
"Simulation.AbsorptionRadiusScalar","","Scaling of radius used for calculation of absorption of one body by another"
"Simulation.ConstantCenterOfMass","","Maintain center of mass"
"Simulation.ConstantCenterOfMass_TOOLTIP","","Should the center of mass in a collision remain fixed when moving material"
"Simulation.AveragStepPerSecond","","Average Time Step"
"Simulation.Mass","","Mass"
"Simulation.Momentum","","Momentum"
"Simulation.Velocity","","Velocity"
"Simulation.MassLost","","Mass Lost"
"Simulation.MomentumLost","","Momentum Lost"
"Simulation.AutomaticTolerance","","Automatic Tolerance"
"Simulation.AutomaticTolerance_TOOLTIP","","Allows the simulation to select a sensible tolerance setting based on current orbits"
"Simulation.Tolerance","","Tolerance"
"Simulation.Tolerance_TOOLTIP","","The maximum acceptable position error per step"
"Simulation.EstimatedBaseTolerance","","Base Tolerance"
"Simulation.AccuracySensitivity","","Accuracy Sensitivity"
"Simulation.ParticleStream","","Particle Jets"
"Simulation.ParticleStream_TOOLTIP","","Particles stream out of jets"
"Simulation.TargetTimeStepPerRealSec","","Target Time Step"
"SimulationInformation.TotalMass","","Mass"
"SimulationInformation.TotalVelocity","","Velocity"
"SimulationInformation.TotalMomentum","","Momentum"
"MaterialProxyTarget.Mass","","Mass"
"TimeControlBehavior.TargetDateTime","","Date"
"TimeControlBehavior.TargetDateTime_TOOLTIP","","Run the simulation until a specified date and time is reached."
"TimeControlBehavior.TargetLength","","Length"
"TimeControlBehavior.TargetLength_TOOLTIP","","Run the simulation until a specified amount of time has passed."
"TimeControlBehavior.MaxSpeed","","Max Speed"
"TimeControlBehavior.MaxSpeed_TOOLTIP","","Set the simulation time step to its maximum possible value."
"TimeControlBehavior.OnArrival","","On Arrival"
"TimeControlBehavior.OnArrival_TOOLTIP","","Define the behavior of the simulation upon arrival of the target date/time."
"TimeControlBehavior.TargetTimestep","","Time Step"
"Choreography.BodyA","","Body"
"Choreography.SeparationInRadii","","Separation in Radii"
"Choreography.PerturbPosInRadii","","Perturb Pos in Radii"
"Choreography.RandomizeMass","","Randomize Mass"
"Choreography.GroupVelocityUpScale","","Upward Velocity Scale"
"Choreography.MakePulsars","","Make All Bodies Pulsars"
"Choreography.ResetCamera","","Reset Camera"
"Choreography.Integrator","","Integrator"
"Choreography.Accuracy","","Accuracy"
"GraphPreset.ValueX","","X Value"
"GraphPreset.ValueY","","Y Value"
"GraphPreset.AliasX","","X Unit"
"GraphPreset.AliasY","","Y Unit"
"GraphPreset.Timespan","","Timespan"
"GraphPreset.ShowAxisX","","X Axis"
"GraphPreset.ShowAxisY","","Y Axis"
"GraphPreset.ShowLegend","","Legend"
"GraphPreset.ShowLabels","","Labels"
"GraphPreset.AxisColor","","GridColor"
"GraphPreset.LabelColor","","LabelsColor"
"GraphPreset.HighlightColor","","HighlightColor"
"NBodyOptions.NumExplosionFillerFragments","","Gravitational smoothing method"
"NBodyOptions.NumExplosionFillerFragments_TOOLTIP","","Cutoff will be regular 1/r untill r is less than collision distance between two bodies. Smooth will use GravitySmoothingLength to ensure that the gravitational attraction is maximal at that distance."
"NBodyOptions.GravitySmoothing","","Gravitational smoothing method"
"NBodyOptions.GravitySmoothing_TOOLTIP","","Cutoff will be regular 1/r untill r is less than collision distance between two bodies. Smooth will use GravitySmoothingLength to ensure that the gravitational attraction is maximal at that distance."
"NBodyOptions.GravitySmoothingLength","","Gravitational smoothing length"
"NBodyOptions.GravitySmoothingLength_TOOLTIP","","Distance where the smoothed gravity reaches its maximum"
"NBodyOptions.GravitationalConstant","","Gravitational constant"
"NBodyOptions.GravitationalConstant_TOOLTIP","","he usual gravitational constant G use in gravity force calculations F=G*M*m / r^2"
"NBodyOptions.AcceptPositionOnlyBasedAcceleration","","Accept position only based starting acceleration"
"NBodyOptions.AcceptPositionOnlyBasedAcceleration_TOOLTIP","","Some integrators leave a position based acceleration from their last step. Using this as starting point for their next step can save one expensive calculation. The velocity based acceleration (from drag or tether dampening) will be skipped, which is not entirely accurate"
"NBodyOptions.FrictionFragmentationEnabled","","Control if drag force fragmentation should be enabled"
"NBodyOptions.RocheFragmentationEnabled","","Control if tidal fragmentation should be enabled"
"NBodyOptions.RocheLimitMinimalRadius","","Roche limit minimal radius"
"NBodyOptions.RocheLimitMinimalRadius_TOOLTIP","","The minimal radius a body should have for Roche fragmentation to happen."
"NBodyOptions.RocheHelperAccelerationFraction","","Roche helper acceleration fraction"
"NBodyOptions.RocheHelperAccelerationFraction_TOOLTIP","","An acceleration lifing up fragments from the surface to emulate stretched bodies."
"NBodyOptions.RocheLobeLossFactor","","Roche lobe loss factor"
"NBodyOptions.RocheLobeLossFactor_TOOLTIP","","The fraction of material outside the roche lobe which is lost per second."
"NBodyOptions.RocheMaximalFragmentMassRatio","","Roche maximal fragment mass ratio"
"NBodyOptions.RocheMaximalFragmentMassRatio_TOOLTIP","","Maximal relative size of roche fragments compared to origin body"
"AmbiencePreset.BackgroundRotation","","Rotation Z"
"AmbiencePreset.BackgroundRotationX","","Rotation X"
"AmbiencePreset.BackgroundRotationY","","Rotation X"
"ArrangeSetup.NumberOfParticles","","Number of Particles"
"ArrangeSetup.NumberOfBodies","","Number of Bodies"
"ArrangeSetup.Density","","Density"
"ArrangeSetup.Spacing","","Spacing"
"ArrangeSetup.Shape","","Shape"
"ArrangeSetup.Revolutions","","Spiral Revolutions"
"ArrangeSetup.SpiralType","","Spiral Type"
"ArrangeSetup.VogelAngle","","Vogel Angle"
"ArrangeSetup.Inner","","Inner Radius"
"ArrangeSetup.Outer","","Outer Radius"
"ArrangeSetup.Height","","Height"
"ArrangeSetup.PlaneAlignment","","Plane Alignment"
"ArrangeSetup.TotalMass","","Total Mass"
"ArrangeSetup.RingUnits","","Size Units"
"ArrangeSetup.Motion","","Motion"
"ArrangeSetup.Velocity","","Velocity"
"ArrangeSetup.VelocityRangeMin","","Velocity Range Min"
"ArrangeSetup.VelocityRangeMax","","Velocity Range Max"
"ArrangeSetup.AutoBounds","","Auto Bounds"
"ArrangeSetup.AutoBounds_TOOLTIP","","Automatically compute realistic inner and outer ring boundaries"
"ArrangeSetup.RemoveUnstableResonances","","Show Ring Gaps"
"ArrangeSetup.RemoveUnstableResonances_TOOLTIP","","Include gaps in rings caused by unstable resonances with orbiting bodies"
"ArrangeSetup.UsePlanetoids","","Bodies instead of Particles"
"ArrangeSetup.UseParentMass","","Mass = Parent/Count"
"ArrangeSetup.BodyName","","Body Name"
"ViewSetup.ResetCamera","","Reset Camera"
"ChaoticOrbitPreset.AMass","","Mass"
"ChaoticOrbitPreset.BMass","","Mass"
"ChaoticOrbitPreset.SunMass","","Mass"
"ChaoticOrbitPreset.TimeStepMode","","Time Step Mode"
"ChoreographyPreset.BodyA","","Body"
"ChoreographyPreset.Integrator","","Integrator"
"ChoreographyPreset.Accuracy","","Accuracy"
"ChoreographyPreset.SeparationInRadii","","Separation in Radii"
"ChoreographyPreset.PerturbPosInRadii","","Perturb Pos in Radii"
"ChoreographyPreset.RandomizeMass","","Randomize Mass"
"ChoreographyPreset.GroupVelocityUpScale","","Upward Velocity Scale"
"ChoreographyPreset.MakePulsars","","Make All Bodies Pulsars"
"ChoreographyPreset.ResetCamera","","Reset Camera"
"ChoreographyPreset.TrailLength","","Trail Length"
"ChoreographyPreset.TrailLength_TOOLTIP","","How much of the trail is drawn before fading"
"ChoreographyPreset.EnableCollisions","","Detect Collisions"
"ChoreographyPreset.EnableCollisions_TOOLTIP","","If disabled, objects will pass through each other instead of collide"
"ChoreographyPreset.EnableFragments","","Create Fragments"
"ChoreographyPreset.EnableFragments_TOOLTIP","","Master fragment creation switch"
"ChoreographyPreset.EnableCollisionFragments","","Collision Fragmentation"
"ChoreographyPreset.EnableCollisionFragments_TOOLTIP","","Collisions create fragments if enabled"
"ChoreographyPreset.EnableTotalBodyFragmentation","","Total Body Fragmentation"
"ChoreographyPreset.EnableTotalBodyFragmentation_TOOLTIP","","Collisions can completely break bodies into fragments"
"ChoreographyPreset.EnableRocheFragmentation","","Roche Fragmentation"
"ChoreographyPreset.EnableRocheFragmentation_TOOLTIP","","Gravitational forces can break apart bodies into fragments"
"ChoreographyPreset.EnableSurfaceFragmentation","","Friction Fragmentation"
"ChoreographyPreset.EnableSurfaceFragmentation_TOOLTIP","","Nearby explosions can rip off a body's surface"
"ChoreographyPreset.JeansEscapeEnabled","","Jeans Escape"
"ChoreographyPreset.JeansEscapeEnabled_TOOLTIP","","Enables volatiles from atmospheric escape, which can occur when a planet is heated"
"ChoreographyPreset.TidalHeating","","Tidal Heating"
"ChoreographyPreset.TidalHeating_TOOLTIP","","Bodies heat through friction when they are deformed by tidal forces"
"CollisionPreset.BodyA","","Body A"
"CollisionPreset.RotationPeriodA","","Rotation Period"
"CollisionPreset.BodyB","","Body B"
"CollisionPreset.RotationPeriodB","","Rotation Period"
"CollisionPreset.ColliderCount","","Collider Count"
"CollisionPreset.Speed","","Velocity"
"CollisionPreset.RealTimeSecBeforeCollision","","Sec Before Collision (real time)"
"CollisionPreset.PosOffsetHofB","","Pos H Offset in Rad A"
"CollisionPreset.PosOffsetVofB","","Pos V Offset in Rad A"
"CollisionPreset.AngleH","","Angle H"
"CollisionPreset.AngleV","","Angle V"
"CollisionPreset.TimeBetweenColliders","","Time Between Colliders"
"CollisionPreset.CollisionGroupCount","","A + B Groups"
"CollisionPreset.TimeOffsetEachGroup","","Time Offset Each Group"
"CollisionPreset.CollisionImportance","","Collision Resolution"
"CollisionPreset.GroupVelocityX","","Velocity X"
"CollisionPreset.GroupVelocityY","","Velocity Y"
"CollisionPreset.GroupVelocityZ","","Velocity Z"
"CollisionPreset.Rate","","Time Step Rate"
"CollisionPreset.TimeStepMode","","Time Step Mode"
"CollisionPreset.InitializeClimate","","Initialize Climate"
"CollisionPreset.ResetCamera","","Reset Camera"
"CollisionPreset.CameraDistanceInRadiusofA","","Camera Distance in Radius of A"
"EncounterPreset.Seed","","Random Seed"
"EncounterPreset.InitDate","","Date"
"EncounterPreset.DateMeaning","","Date Meaning"
"EncounterPreset.TimeStepMode","","Time Step Mode"
"EncounterPreset.RogueBody","","Rogue Body"
"EncounterPreset.IncludeRogueBody","","Include Rogue Body"
"EncounterPreset.Mass","","Body Mass"
"EncounterPreset.OverrideMass","","Use Different Mass"
"EncounterPreset.Speed","","Velocity"
"EncounterPreset.AngleH","","Angle H"
"EncounterPreset.AngleV","","Angle V"
"EncounterPreset.TargetName","","Aim Target"
"EncounterPreset.AimPointX","","Aim Point X Offset"
"EncounterPreset.AimPointY","","Aim Point Y Offset"
"EncounterPreset.Distance","","Distance from Aim Point"
"EncounterPreset.AsteroidsAndDwarfOptions","","Asteroids & Dwarfs"
"EncounterPreset.MoonOptions","","Moons"
"EncounterPreset.RingOptions","","Rings"
"EncounterPreset.ResetCamera","","Reset Camera"
"GalaxyPreset.IncludeDarkMatter","","Include Dark Matter"
"GalaxyPreset.NumberOfParticles","","Particle Count"
"GalaxyPreset.NumberDMParticles","","Dark Matter Particles"
"GalaxyPreset.RelativeSize","","Relative Size"
"GalaxyPreset.GalaxyType","","Galaxy Type"
"GalaxyPreset.SpiralArms","","Spiral Arms"
"GalaxyPreset.ArmAngle","","Spiral Arm Angle"
"GalaxyPreset.NumOfGalaxies","","Galaxy Count"
"GalaxyPreset.RandomOrientation","","Random Orientation"
"GridPreset.ObjType","","Body Type"
"GridPreset.Seed","","Random Seed"
"GridPreset.MassMin","","Mass Low"
"GridPreset.MassMax","","Mass High"
"GridPreset.DensityMin","","Density Low"
"GridPreset.DensityMax","","Density High"
"GridPreset.TempMin","","Temperature Low"
"GridPreset.TempMax","","Temperature High"
"GridPreset.Gravity","","Gravity"
"GridPreset.AllMaterials","","Four Materials"
"GridPreset.LogMass","","Mass Logarithmic"
"GridPreset.LogTemp","","Temperature Logarithmic"
"GridPreset.LogDensity","","Density Logarithmic"
"GridPreset.ResetCamera","","Reset Camera"
"RandomSystemChildGroup.ExplosionAutoVelocity","","Auto Explosion Velocity"
"RandomSystemChildGroup.ExplosionVelocity","","Explosion Velocity"
"RandomSystemChildGroup.ExplosionVelocity_TOOLTIP","","Velocity of the explosion"
"RandomSystemChildGroup.GridResolution","","Resolution"
"RandomSystemChildGroup.MaxInclination","","Max Random Inclination of Planets"
"RandomSystemChildGroup.MinDistanceByParentRadius","","Min Planet Distance By Parent Radius "
"RandomSystemChildGroup.MaxDistanceByParentRadius","","Max Planet Distance By Parent Radius "
"RandomSystemPreset.Seed","","Random Seed"
"RandomSystemPreset.RandomizeSeed","","Randomize Seed"
"RandomSystemPreset.CenterBody","","Center Body"
"RandomSystemPreset.MaxInclination","","Max Random Inclination of Planets"
"RandomSystemPreset.MinPlanetDistanceByStarRadius","","Min Planet Distance By Star Radius "
"RandomSystemPreset.MaxPlanetDistanceByStarRadius","","Max Planet Distance By Star Radius "
"RandomSystemPreset.VelocityUp","","Upward Velocity"
"RandomSystemPreset.ResetCamera","","Reset Camera"
"RandomSystemPreset.ShowTrails","","Show Trails"
"RingPreset.ColorMode","","Color Mode"
"RingPreset.Color","","Color"
"RingPreset.RingTexture","","Ring Texture"
"RingPreset.Material","","Material"
"RingPreset.TextureColorThreshold","","Texture Color Threshold"
"SimulationPreset.MergeWithExistingSim","","Merge with Existing Sim"
"SimulationPreset.OpenTutorialOnLoad","","Open this tutorial on load"
"SimulationPreset.StartDate","","Start Date"
"UserSimulationPreset.StartDate","","Start Date"
"SolarSystemPreset.InitDate","","Date"
"SolarSystemPreset.AsteroidsAndDwarfs","","Include Asteroids & Dwarfs"
"SolarSystemPreset.MoonOptions","","Include Moons"
"SolarSystemPreset.RingOptions","","Include Rings"
"SolarSystemPreset.ResetCamera","","Reset Camera"
"SolarSystemPreset.TimeStepMode","","Time Step Mode"
"Budget.MaxAttracting","","Max Attracting"
"Budget.MaxAttracting_TOOLTIP","","The maximum amount of attracting bodies allowed."
"Budget.MaxNonAttracting","","Max Non-Attracting"
"Budget.MaxNonAttracting_TOOLTIP","","The maximum amount of non-attracting bodies allowed."
"Budget.Reduction","","Reduction"
"Budget.Reduction_TOOLTIP","","The reduction is equal to the current FPS divided by TargetFPS"
"Budget.ReductionPercent","","Reduction"
"Budget.ReductionPercent_TOOLTIP","","Number of bodies is reduced by this percent"
"BudgetContext.RingsAndBelts","","Everything else"
"BudgetContext.CollisionFragmentation","","Collision"
"BudgetContext.RocheFragmentation","","Roche"
"BudgetContext.ExplosionFragmentation","","Explosion"
"BudgetContext.FrictionFragmentation","","Friction"
"BudgetContext.VolatileFragmentation","","Volatiles"
"FPSCounter.AverageOverSeconds","","Average FPS over x seconds"
"OrbitalElementsSimpleStruct.SemiMajorAxis","","Semi Major Axis"
"OrbitalElementsSimpleStruct.Eccentricity","","Eccentricity"
"OrbitalElementsSimpleStruct.Inclination","","Inclination"
"OrbitalElementsSimpleStruct.ArgOfPerigee","","Arg Of Perigee"
"OrbitalElementsSimpleStruct.RightAscOfAscNode","","Right Asc Of Asc Node"
"OrbitalElementsSimpleStruct.MeanAnomaly","","Mean Anomaly"
"OrbitalElementsStruct.SemiMajorAxis","","Semi Major Axis"
"OrbitalElementsStruct.Eccentricity","","Eccentricity"
"OrbitalElementsStruct.Inclination","","Inclination"
"OrbitalElementsStruct.ArgOfPerigee","","Arg Of Perigee"
"OrbitalElementsStruct.RightAscOfAscNode","","Right Asc Of Asc Node"
"OrbitalElementsStruct.MeanAnomaly","","Mean Anomaly"
"OrbitalElementsStruct.PeriapsisDist","","Periapsis Dist"
"OrbitalElementsStruct.ApoapsisDist","","Apoapsis Dist"
"OrbitalElementsStruct.OrbitalPeriod","","Orbital Period"
"RocketSimpleStruct.FuelMass","","Fuel Mass"
"RocketSimpleStruct.RocketMass","","Rocket Mass"
"RocketSimpleStruct.Inclination","","Inclination"
"RocketSimpleStruct.DragCoefficient","","Drag Coefficient"
"RocketSimpleStruct.RhoAirDensity","","Air Density"
"RocketSimpleStruct.RocketArea","","Rocket Area"
"RocketSimpleStruct.LaunchRodLength","","Launch Rod Length"
"RocketSimpleStruct.EngineThrust","","Engine Thrust"
"RocketSimpleStruct.FuelBurnRate","","Fuel Burn Rate"
"RocketStruct.Name","","Name"
"RocketStruct.FuelMass","","Fuel Mass"
"RocketStruct.FuelBurnRate","","Fuel Burn Rate"
"RocketStruct.RocketRadius","","Rocket Radius"
"RocketStruct.RocketMass","","Rocket Mass"
"RocketStruct.CurrentMass","","Current Mass"
"RocketStruct.TimePassed","","Time since launch"
"RocketStruct.Inclination","","Inclination"
"RocketStruct.DragCoefficient","","Drag Coefficient"
"RocketStruct.RhoAirDensity","","Air Density"
"RocketStruct.RocketArea","","Rocket Area"
"RocketStruct.LaunchRodLength","","Launch Rod Length"
"RocketStruct.EngineThrust","","Engine Thrust"
"RocketStruct.SpecificImpulse","","Specific Impulse"
"RocketStruct.MassLoss","","Rate of fuel Mass Loss"
"RocketStruct.Stages","","Rocket Stages"
"RocketStruct.StageMass","","Rocket Stage Masses"
"RocketStruct.StageTime","","Rocket Stage Time"
"RocketStruct.Distance","","Rocket Distance Traveled"
"RocketStruct.Velocity","","Rocket Velocity"
"Tweakables.DebugExplosionSpheres","","Explosion Boundaries"
"Tweakables.DebugSingleSelectComplexParticles","","Select single Galaxy / Supernova particles"
"Tweakables.DebugShowUntranslated","","Show tokens with no translation (#!#)"
"TouchScreenGestures.IsFramerateIndependent","","Framerate Independent Touch"
"NBodyComponent.GravityGroup","","ID of the gravitational group to which this body belongs"
"NBodyComponent.RocheLobeRadius","","Roche Lobe Radius"
"NBodyComponent.RocheLobeRadius_TOOLTIP","","The radius of the sphere with same volume as the bodys roche lobe"
"NBodyComponent.TidalStressDirection","","Tidal Stress Direction"
"NBodyComponent.TidalStressDirection_TOOLTIP","","Measure of the directional scale of the relative tidal stress on the body"
"NBodyComponent.TidalStressMagnitude","","Tidal Stress Magnitude"
"NBodyComponent.TidalStressMagnitude_TOOLTIP","","Measure of the magnitude of the relative tidal stress on the body"
"NBodyComponent.TidalHeatingEffect","","Tidal Heating Effect"
"NBodyComponent.TidalHeatingEffect_TOOLTIP","","Tidal heating from dynamic tidal forces"
"NBodyComponent.TidalHeatingEffectPerMass","","Tidal Heating per Mass"
"NBodyComponent.TidalHeatingEffectPerMass_TOOLTIP","","Tidal heating from dynamic tidal forces per unit of mass"
"TransformComponent.DistanceToCamera","","Distance to You"
"VRLaser.Power","","Power of Laser"
"VRLaser.Wavelength","","Wavelength of Laser"
"VROptions.ScreenshotFOV","","Screenshot Field of View"
"VROptions.ScreenshotFOV_TOOLTIP","","Set the field of view in degrees for screenshots taken in the VR view"
"VROptions.EnableCameraSmoothing","","Enable Camera Smoothing"
"VROptions.EnableCameraSmoothing_TOOLTIP","","Enables a smoother viewing experience for the desktop view"
"VROptions.ObserverFOV","","Field of View"
"VROptions.ObserverFOV_TOOLTIP","","Set the observer camera field of view in degrees"
"VROptions.CameraSmoothingValue","","Camera Smoothing Amount"
"VROptions.CameraSmoothingValue_TOOLTIP","","If you are watching someone play in the VR view, this will smooth your view"
"VROptions.FocusSimCenterOnStart","","Focus Simulation on Start"
"VROptions.FocusSimCenterOnStart_TOOLTIP","","Let the camera face the center of newly loaded simulations"
"VROptions.EnableHaptics","","Enable Haptics"
"VROptions.EnableHaptics_TOOLTIP","","Enable controller haptics (vibration)"
"VROptions.EnableVRExperience","","Always Run VR Experience"
"VROptions.EnableVRExperience_TOOLTIP","","Run the in-game VR experience at startup"
"VROptions.AutoGraphics","","Auto Graphics Mode"
